time	V(vout)
Step Information: Run=1  (Step: 1/250)
1.370803434205852e+00	3.291456e+00
1.374709684205852e+00	3.291458e+00
1.378615934205852e+00	3.291457e+00
1.382522184205852e+00	3.291458e+00
1.386428434205852e+00	3.291457e+00
1.390334684205852e+00	3.291459e+00
1.394240934205852e+00	3.291458e+00
1.398147184205852e+00	3.291459e+00
1.402053434205852e+00	3.291458e+00
1.405959684205852e+00	3.291460e+00
1.409865934205852e+00	3.291459e+00
1.413772184205852e+00	3.291461e+00
1.417678434205852e+00	3.291459e+00
1.421584684205852e+00	3.291461e+00
1.425490934205852e+00	3.291460e+00
1.429397184205852e+00	3.291461e+00
1.433303434205852e+00	3.291460e+00
1.437209684205852e+00	3.291462e+00
1.441115934205852e+00	3.291461e+00
1.445022184205852e+00	3.291462e+00
1.448928434205852e+00	3.291461e+00
1.452834684205852e+00	3.291462e+00
1.456740934205852e+00	3.291461e+00
1.460647184205852e+00	3.291463e+00
1.464553434205852e+00	3.291461e+00
1.468459684205852e+00	3.291463e+00
1.472365934205852e+00	3.291462e+00
1.476272184205852e+00	3.291463e+00
1.480178434205852e+00	3.291462e+00
1.484084684205852e+00	3.291463e+00
1.487990934205852e+00	3.291462e+00
1.491897184205852e+00	3.291463e+00
1.495803434205852e+00	3.291461e+00
1.499709684205852e+00	3.291463e+00
1.503615934205852e+00	3.291461e+00
1.507522184205852e+00	3.291462e+00
1.511428434205852e+00	3.291461e+00
1.515334684205852e+00	3.291461e+00
1.519240934205852e+00	3.291459e+00
1.523147184205852e+00	3.291460e+00
1.527053434205852e+00	3.291458e+00
1.530959684205852e+00	3.291458e+00
1.534865934205852e+00	3.291456e+00
1.538772184205852e+00	3.291456e+00
1.542678434205852e+00	3.291453e+00
1.546584684205852e+00	3.291453e+00
1.550490934205852e+00	3.291450e+00
1.554397184205852e+00	3.291449e+00
1.558303434205852e+00	3.291445e+00
1.562209684205852e+00	3.291443e+00
1.566115934205852e+00	3.291439e+00
1.570022184205852e+00	3.291436e+00
1.573928434205852e+00	3.291430e+00
1.577834684205852e+00	3.291427e+00
1.581740934205852e+00	3.291420e+00
1.585647184205852e+00	3.291414e+00
1.589553434205852e+00	3.291406e+00
1.593459684205852e+00	3.291398e+00
1.597365934205852e+00	3.291387e+00
1.601272184205852e+00	3.291377e+00
1.605178434205852e+00	3.291361e+00
1.609084684205852e+00	3.291346e+00
1.612990934205852e+00	3.291325e+00
1.616897184205852e+00	3.291302e+00
1.620803434205852e+00	3.291270e+00
1.624709684205852e+00	3.291234e+00
1.628615934205852e+00	3.291182e+00
1.632522184205852e+00	3.291113e+00
1.636428434205852e+00	3.291002e+00
1.640334684205852e+00	3.290810e+00
1.644240934205852e+00	3.290259e+00
1.644729215455852e+00	3.290095e+00
1.645705777955852e+00	3.289398e+00
1.646010953737102e+00	3.288721e+00
1.646133024049602e+00	3.287992e+00
1.646171171022259e+00	3.287380e+00
1.646190244508587e+00	3.286872e+00
1.646197873903118e+00	3.286569e+00
1.646213132692181e+00	3.285469e+00
1.646216688962358e+00	3.284983e+00
1.646223801502714e+00	3.283333e+00
1.646225579637803e+00	3.282538e+00
1.646229135907980e+00	3.279675e+00
1.646229728990173e+00	3.278792e+00
1.646230915154558e+00	3.276222e+00
1.646231211695654e+00	3.275249e+00
1.646231804777847e+00	3.272662e+00
1.646232455092121e+00	3.267657e+00
1.646232595023678e+00	3.265953e+00
1.646232874886793e+00	3.261432e+00
1.646233203897609e+00	3.252028e+00
1.646233455780075e+00	3.237471e+00
1.646233662026093e+00	3.212496e+00
1.646233849560325e+00	3.163650e+00
1.646234054447248e+00	3.049133e+00
1.646234262442352e+00	2.857800e+00
1.646234564358699e+00	2.509283e+00
1.646234893613675e+00	2.104159e+00
1.646235357942448e+00	1.528556e+00
1.646236286599994e+00	3.898903e-01
1.646236340230462e+00	3.280680e-01
1.646236447491399e+00	2.107110e-01
1.646236560868481e+00	1.067939e-01
1.646236650481922e+00	5.550144e-02
1.646236750288346e+00	3.116933e-02
1.646236785992966e+00	2.693773e-02
1.646236846286931e+00	2.225728e-02
1.646236911182380e+00	1.913410e-02
1.646236994607113e+00	1.664553e-02
1.646237095732434e+00	1.478945e-02
1.646237222651773e+00	1.335338e-02
1.646237389437314e+00	1.220465e-02
1.646237608602831e+00	1.130189e-02
1.646237903134994e+00	1.058923e-02
1.646238305831105e+00	1.002963e-02
1.646238867835582e+00	9.593348e-03
1.646239668437302e+00	9.257668e-03
1.646240858274723e+00	9.001107e-03
1.646242653884914e+00	8.814572e-03
1.646245446464175e+00	8.686961e-03
1.646249925993690e+00	8.609287e-03
